cntry,essround,sample,n_trstprl,trstprl_t0,trstprl_t1,trstprl_t2,trstprl_t3,trstprl_t4,trstprl_t5,trstprl_t6,trstprl_t7,trstprl_t8,trstprl_t9,n_stfdem,stfdem_t0,stfdem_t1,stfdem_t2,stfdem_t3,stfdem_t4,stfdem_t5,stfdem_t6,stfdem_t7,stfdem_t8,stfdem_t9,trstprl_v0,trstprl_v1,trstprl_v2,trstprl_v3,trstprl_v4,trstprl_v5,trstprl_v6,trstprl_v7,trstprl_v8,trstprl_v9,stfdem_v0,stfdem_v1,stfdem_v2,stfdem_v3,stfdem_v4,stfdem_v5,stfdem_v6,stfdem_v7,stfdem_v8,stfdem_v9
CH,1,extended,1947,0.013206657298712803,0.02246247223856534,0.04990123485255803,0.12019327069780128,0.20716892892146155,0.45475495180610437,0.6213858851688063,0.8173125048297923,0.9591264694102521,0.9867977331540793,1989,0.009108204827116812,0.012994829311888393,0.03333390481710036,0.07697205614791967,0.1430752750138338,0.29126264186058065,0.41404825438073445,0.6067422904758039,0.8678339887974759,0.9505246646293128,,,,,,,,,,,,,,,,,,,,
CH,2,extended,2024,0.017930340730376516,0.03420354186686083,0.07287021037987533,0.16105031340067538,0.2587236435448068,0.5190742997701046,0.6604607712248437,0.8319435898217588,0.9547300197130558,0.9838000422205025,2061,0.011085039911973855,0.02106818885478762,0.04152560358829501,0.08408797642328401,0.16677844515714688,0.3316611322454746,0.45797133481479496,0.6495162221301171,0.8745230189478953,0.9581239273586812,,,,,,,,,,,,,,,,,,,,
CH,3,extended,1722,0.01737038078093794,0.03317613861118719,0.06121849600732104,0.12408618154237509,0.21175384499988986,0.4540231019530504,0.6089483794937343,0.7947665906269302,0.9420261164826574,0.9777592599969991,1765,0.008508704645708331,0.01370284653152115,0.02643259761450466,0.052419117949409684,0.09884842858611287,0.2181194391955874,0.3436163845185956,0.5589853443965315,0.8171767948907164,0.9398779143240129,,,,,,,,,,,,,,,,,,,,
CH,4,extended,1695,0.023408060917136955,0.03161496170672253,0.05296598139893075,0.10492354826850601,0.19730431926513003,0.4187188494321277,0.5931364712899865,0.803298653665439,0.953948860255096,0.9881725848560023,1768,0.0065373560021068245,0.012140015325471888,0.03055260366977169,0.05961173987515854,0.10705190671985987,0.22280810355166838,0.3376174610500337,0.5546866288496527,0.8139131055560495,0.9280550679514808,,,,,,,,,,,,,,,,,,,,
CH,5,extended,1431,0.0256289309625598,0.03380604816093268,0.06372789945297758,0.13939389407508604,0.23009146962437138,0.43606371664413485,0.5815225236102954,0.7711766313207591,0.9402870887126618,0.9757220598899178,1473,0.008340961309368983,0.011899413232845492,0.02696208099803034,0.05749792271593461,0.09838147924513306,0.20248140844687793,0.3053497842010116,0.5195854788508122,0.7922937076486365,0.919760423065643,,,,,,,,,,,,,,,,,,,,
CH,6,extended,1406,0.013110111658971944,0.019993021648306086,0.04024303867899521,0.09468132596840963,0.16374305278902654,0.3681700677838093,0.5162984898472445,0.7427901647422093,0.9096147150945616,0.9703920126694315,1464,0.001383112385009215,0.005395541221655913,0.010023079496411944,0.027317397013771953,0.06054201984123728,0.14025801849577355,0.2330540708651755,0.44972255361633195,0.7727510688675947,0.9272392887679238,,,,,,,,,,,,,,,,,,,,
CH,7,extended,1489,0.017396772706752155,0.024841223140245772,0.04544380345971085,0.09376628300139825,0.16046641482133472,0.336273791489446,0.5029374133928024,0.7131007402362899,0.9119827128718024,0.963638981034962,1500,0.005537726137372488,0.01189154803395845,0.01801767316522155,0.041530115317666254,0.0777783604477322,0.16185381908982646,0.2537075682435976,0.4483558266586722,0.7294283645973663,0.8922497322829915,,,,,,,,,,,,,,,,,,,,
CH,8,extended,1470,0.014323904849198483,0.021991290335930905,0.039231538992789784,0.07704761224060205,0.13075809348060047,0.3230953025602645,0.4757043436559917,0.7105758133386785,0.9092068608571279,0.9655695330603091,1480,0.005153313258896343,0.006504984949365642,0.01852344405281581,0.04074293604916586,0.07710722806505092,0.1577786871967535,0.2536681484967481,0.4361252276913401,0.7251036532319014,0.8955092804179225,,,,,,,,,,,,,,,,,,,,
CH,9,core,1453,0.010398794312618274,0.017100383012258705,0.0353508280483392,0.07844977073301142,0.144980548868631,0.30855339750893335,0.4538993811274422,0.6933061442298397,0.8992432186835716,0.9606241736241636,1495,0.001975844851049638,0.005559086650423443,0.014692235384827479,0.027670748975171088,0.05548043073575476,0.12850719525730786,0.2171539167539857,0.41399468093689257,0.7132141611035482,0.8853417848920472,0.002735872354530824,0.0035615256545505907,0.004840247500772327,0.0068356069641495034,0.009179533802736218,0.012248839421936863,0.013683598753599566,0.012319709319764234,0.00765963456317577,0.005122555768386478,0.0010768405553844747,0.0019988944913058334,0.003309252333897625,0.004275571941189673,0.006069939497686055,0.008757931028217794,0.010942647838986784,0.012451503047118383,0.011247910980475385,0.008107587901564937
CH,10,core,1440,0.007724717824652146,0.013541638525601946,0.02650676706100858,0.05941753694196728,0.10867855024568122,0.26433795668582,0.40275998308784744,0.653775357339148,0.8895543552643562,0.9635001945580443,1490,0.0024324759898025346,0.004881820026860653,0.011840580940340746,0.024853394228325085,0.043339753735121236,0.09436370030764606,0.181892729205312,0.37727249333484664,0.709941653076051,0.9034370590827289,0.0025018721549855535,0.0029787392537062394,0.0040198932697367695,0.006307986427316112,0.008698228123039331,0.01130491494539916,0.013701944011532121,0.01305323258534513,0.00815727522294429,0.005107452195601036,0.0012055192900962282,0.001954642710054144,0.002849212277381097,0.004193379443409881,0.005335609724557852,0.007797743660151632,0.010239823049309763,0.011807439619615882,0.01203079956446677,0.007694858974082226
