s_transport,rho,oracle_cov,plugin_cov,da_cov,oracle_w,plugin_w,da_w,clean_sup_mean,cont_sup_mean,dominance_ok
0.5,0.21861242353140772,1.0,1.0,1.0,0.343709790451524,0.3098773677781379,0.27024934169500403,0.08969819569534904,0.09829915586802514,1.0
0.5,0.17056035720842444,1.0,1.0,1.0,0.372235295396275,0.41368296287785655,0.33682674611121544,0.11245607908977813,0.12081937052706775,1.0
0.5,0.2543241932062179,1.0,1.0,1.0,0.31081093103942414,0.3407299986058828,0.2640571706691487,0.07492029220672618,0.08114410868732383,1.0
0.5,0.1956797493217577,1.0,1.0,1.0,0.35924080279096654,0.3841389751911909,0.2869373178738339,0.09830725283330496,0.09832763943768462,1.0
0.5,0.21662007676535408,1.0,1.0,1.0,0.30003572168729925,0.3263240648737262,0.2946775668562781,0.08905342598061736,0.09133137355310242,1.0
0.5,0.16433211844737428,1.0,1.0,1.0,0.40638966178329355,0.4009252153426373,0.3716600127478934,0.11605296906203927,0.12363430510523905,1.0
0.5,0.21494057809272452,1.0,1.0,1.0,0.35187633451292055,0.3503988535073397,0.30755458795669693,0.08616627463081547,0.09084061191028361,1.0
0.5,0.2304649724230921,1.0,1.0,1.0,0.30030342550149414,0.29166668020017383,0.24480348846556801,0.08311716472443567,0.08425733508933009,1.0
0.5,0.22221788671797907,0.0,0.0,0.0,0.29806038410337815,0.3085606781173437,0.2750088161174908,0.09184264985307818,0.09959998018078094,1.0
0.5,0.24385618290419717,1.0,1.0,1.0,0.283341289181029,0.3235835479173701,0.2563445835105405,0.07919315172070138,0.08767038832959852,1.0
0.5,0.1948547218282366,1.0,1.0,1.0,0.33724283184912507,0.34900786243579535,0.30882999320540605,0.09929122056394721,0.1021899600587522,1.0
0.5,0.21085042361048068,1.0,1.0,1.0,0.3167950285623942,0.3398058748443901,0.35463761473640687,0.08852064928989907,0.09530926312507561,1.0
0.5,0.2100121449699059,1.0,1.0,1.0,0.3158637045177813,0.341198367188447,0.2893883461178387,0.09769225569016067,0.10140818258541483,1.0
0.5,0.18489240705957705,1.0,1.0,1.0,0.3239096119501861,0.32419200986004776,0.3179560090128851,0.1014873437760211,0.10531311841659173,1.0
0.5,0.25631958652183867,1.0,1.0,1.0,0.28644902401735683,0.33391470803027223,0.24372814778976845,0.0758518943036287,0.08518096364765448,1.0
0.5,0.17923175845830094,1.0,1.0,1.0,0.38102789648930335,0.4053303646533723,0.35161177517607023,0.10336697028829363,0.11246877136197522,1.0
0.5,0.2011827870683043,1.0,1.0,1.0,0.3136584367162017,0.2916490702409086,0.33457978656832166,0.09271387386370958,0.09688984728950889,1.0
0.5,0.22609229670690026,1.0,1.0,1.0,0.28604368729757457,0.34855343968049074,0.2738098466593044,0.08318454222945429,0.09016071259716854,1.0
0.5,0.24107295298822623,1.0,1.0,1.0,0.3405502443812083,0.3505144386726503,0.2930274083404837,0.0825325728084861,0.08792813341186831,1.0
0.5,0.22428548589140698,0.0,0.0,0.0,0.3010028889453521,0.3224998713188133,0.2598011206042304,0.08366965647267952,0.09108684742002385,1.0
0.5,0.19780422584195778,0.0,0.0,0.0,0.3138368981910727,0.3263288520997045,0.29783555639172465,0.10188245140580802,0.10588688087288352,1.0
0.5,0.24092607441160416,1.0,1.0,1.0,0.32040257306054504,0.30506107917464864,0.26270401362716084,0.08406390540212502,0.09205446294825281,1.0
0.5,0.20258290848725327,1.0,1.0,1.0,0.34897855304013886,0.34104786645885626,0.29592109846356607,0.09213268542173321,0.10049703002418524,1.0
