outcome,f,rep,target,rho,branch,stable,w_adaptive,w_cons,cov_adaptive,cov_T1,cov_T2,cov_T3
b13,1.0,2,40,0.11666910053125372,T1,True,0.3277094653934698,0.3589675717088209,1,1,1,1
b13,1.0,2,41,0.11620627736172308,T1,True,0.3270444655852833,0.3582391418294918,1,1,1,1
b13,1.0,3,1,0.11621301875102512,T1,True,0.32740998033720575,0.35631793810531304,1,1,1,1
b13,1.0,3,2,0.11567033084169377,T1,True,0.32652861977510966,0.3553587597140802,1,1,1,1
b13,1.0,3,3,0.11920223705893672,T1,True,0.3269291387547622,0.3557946416528496,1,1,1,1
b13,1.0,3,4,0.11850713998846588,T1,True,0.32586256524354995,0.35469936014189096,1,1,1,1
b13,1.0,3,5,0.11541766726529962,T1,True,0.3277384507554404,0.3566754101103919,1,1,1,1
b13,1.0,3,6,0.1149925125758147,T1,True,0.3255496962309016,0.35429340422773936,1,1,1,1
b13,1.0,3,7,0.11729745450778055,T1,True,0.325531645553955,0.3542737598052194,1,1,1,1
b13,1.0,3,8,0.11386282853086381,T1,True,0.3272897934431368,0.3561871395687571,1,1,1,1
b13,1.0,3,9,0.12309964050262784,T1,True,0.31304111462525197,0.33876795017633393,0,0,0,0
b13,1.0,3,10,0.11548465506963286,T1,True,0.3278562543411085,0.35680361490947415,1,1,1,1
b13,1.0,3,11,0.11388279255442793,T1,True,0.32742883163184994,0.3563384538343428,1,1,1,1
b13,1.0,3,12,0.11639940269483201,T1,True,0.32624212398988994,0.35504696840167055,1,1,1,1
b13,1.0,3,13,0.11359125744537317,T1,True,0.3273976135323314,0.35630447940008586,1,1,1,1
b13,1.0,3,14,0.11659345087380518,T1,True,0.32662297921010075,0.3554614504117864,1,1,1,1
b13,1.0,3,15,0.11165303142857397,T1,True,0.32732421333762657,0.3562245984935637,1,1,1,1
b13,1.0,3,16,0.11157458839629232,T1,True,0.32725718892022104,0.3561516562998406,1,1,1,1
b13,1.0,3,21,0.12423409943207567,T1,True,0.31079811235626253,0.34234601067183684,0,0,1,0
b13,1.0,3,22,0.11694544688721319,T1,True,0.3263473981587716,0.35516153752614577,1,1,1,1
b13,1.0,3,23,0.1141365620967314,T1,True,0.3264042570165051,0.35522341661403956,1,1,1,1
b13,1.0,3,24,0.11435864735149205,T1,True,0.32774521943108986,0.35668277641165314,1,1,1,1
b13,1.0,3,25,0.11408364691587926,T1,True,0.32706881353965306,0.355946648721499,1,1,1,1
b13,1.0,3,26,0.11643528379915631,T1,True,0.3281032660652321,0.3570724360008071,1,1,1,1
b13,1.0,3,27,0.12045715873654779,T1,True,0.3283904765247288,0.35738500508811705,1,1,1,1
b13,1.0,3,28,0.11517969041189433,T1,True,0.3273111563240955,0.3562103886391958,1,1,1,1
b13,1.0,3,40,0.11599454580909715,T1,True,0.3277094653934698,0.3566438655484272,1,1,1,1
b13,1.0,3,41,0.11519783893341763,T1,True,0.3270444655852833,0.3559201510170332,1,1,1,1
b13,1.0,4,1,0.11660904800586282,T1,True,0.32740998033720575,0.3574097637998039,1,1,1,1
b13,1.0,4,2,0.11597785829693819,T1,True,0.32652861977510966,0.35644764630418935,1,1,1,1
b13,1.0,4,3,0.11976721744199302,T1,True,0.3269291387547622,0.3568848638678309,1,1,1,1
b13,1.0,4,4,0.11916105479936549,T1,True,0.32586256524354995,0.35607922201560915,1,1,1,1
b13,1.0,4,5,0.11584531210528337,T1,True,0.3277384507554404,0.35776833116685713,1,1,1,1
b13,1.0,4,6,0.11548446140816883,T1,True,0.3255496962309016,0.35537902636672397,1,1,1,1
b13,1.0,4,7,0.11747481727475399,T1,True,0.325531645553955,0.35535932174997026,1,1,1,1
b13,1.0,4,8,0.1146479128202406,T1,True,0.3272897934431368,0.35727856447174194,1,1,1,1
b13,1.0,4,9,0.12348051955101814,T1,True,0.31304111462525197,0.33774263036721747,0,0,0,0
b13,1.0,4,10,0.11579898113854016,T1,True,0.3278562543411085,0.35789692880974217,1,1,1,1
b13,1.0,4,11,0.11499493535908836,T1,True,0.32742883163184994,0.35743034239291566,1,1,1,1
b13,1.0,4,12,0.11693491446846847,T1,True,0.32624212398988994,0.3561348996041054,1,1,1,1
b13,1.0,4,13,0.11418633043197243,T1,True,0.3273976135323314,0.3573962638545531,1,1,1,1
b13,1.0,4,14,0.11705081305580142,T1,True,0.32662297921010075,0.3565506516656561,1,1,1,1
b13,1.0,4,15,0.11316058522570502,T1,True,0.32732421333762657,0.3573161381777937,1,1,1,1
b13,1.0,4,16,0.11212717477017185,T1,True,0.32725718892022104,0.3572429724753644,1,1,1,1
b13,1.0,4,21,0.1245606566726263,T1,True,0.31079811235626253,0.34173873486659007,0,0,1,0
