outcome,cntry,threshold,core,cdf_first,cdf_last,cdf_diff,cdf_lower
trstprl,IT,1,True,0.0940859801585574,0.1537316301336547,0.059645649975097303,0.016046707512072454
trstprl,IT,2,True,0.16280124143974387,0.2347856890618495,0.07198444762210562,0.01942393201174302
trstprl,IT,3,True,0.2430084403754077,0.3476124397894382,0.10460399941403048,0.04423791336600061
trstprl,IT,4,True,0.37048918314099216,0.4910293524873479,0.12054016934635575,0.054423504194314826
trstprl,IT,5,False,0.6043289910701879,0.6656592623218186,0.06133027125163071,-0.004819526603781793
trstprl,IT,6,False,0.7896476084993723,0.8134555912203144,0.02380798272094209,-0.03125652897668488
trstprl,IT,7,False,0.9008769894487169,0.9192252648724797,0.018348275423762828,-0.01839470142983108
trstprl,IT,8,False,0.9621077478262154,0.9777275936900738,0.01561984586385834,-0.006079416157621833
trstprl,IT,9,False,0.987712884005522,0.987792320762902,7.943675737998035e-05,-0.013878619910167998
trstprl,UA,0,False,0.10949226740564091,0.4539338441944593,0.34444157678881837,0.2954975673460329
trstprl,UA,1,True,0.16160515771477169,0.5285061969727513,0.36690103925797957,0.31627868303647616
trstprl,UA,2,True,0.23193101629797144,0.6327279536553129,0.40079693735734145,0.34899187921447417
trstprl,UA,3,True,0.3616369217984401,0.7140635526558334,0.35242663085739334,0.2982298271033577
trstprl,UA,4,True,0.45393416912593193,0.7667924755226614,0.31285830639672946,0.25891894793949305
trstprl,UA,5,False,0.689470990604236,0.897901515567321,0.208430524963085,0.1632905214203333
trstprl,UA,6,False,0.7633931960284513,0.9330462444705973,0.1696530484421459,0.12887637547964464
trstprl,UA,7,False,0.8465453389936896,0.9654682777684227,0.11892293877473314,0.08505258227369655
trstprl,UA,8,False,0.9005198531551656,0.9821205799823516,0.081600726827186,0.05398264683985038
trstprl,UA,9,False,0.9452484049624578,0.9872413722963861,0.04199296733392832,0.020550157638701577
