rho_true,rho_hat,branch,stable,cov_adaptive,cov_T1,cov_T3,w_T1,w_T3,w_T2
0.1,0.12277135765337896,T1,True,1,1,1,0.18810879313226855,0.18757692642532364,0.20359864332632302
0.1,0.10386243731585054,T1,True,1,1,1,0.22863325828986164,0.22789136457513295,0.24130554977552088
0.1,0.1103500430861607,T1,True,1,1,1,0.2429428247703027,0.24203854724658694,0.2577250175182108
0.1,0.10856129144494545,T1,True,1,1,1,0.19994658063122223,0.19787833461805232,0.22078232863968877
0.1,0.10847074507012339,T1,True,0,0,0,0.21412195399973663,0.21295327163395678,0.22938955600670013
0.1,0.10116939689366514,T1,True,1,1,1,0.24589445363319506,0.24482216227984321,0.26436937254450127
0.1,0.09926635396671166,T1,True,1,1,1,0.23701780861841476,0.2358859641170405,0.2524026707884301
0.1,0.1051007440024464,T1,True,1,1,1,0.21119079953240769,0.20996972890599544,0.2317687086608276
0.1,0.09807736424307938,T1,True,1,1,1,0.2498451290686892,0.24851698723523863,0.26831673333386574
0.1,0.10376409754783869,T1,True,1,1,1,0.22024939268261562,0.218786559282584,0.23826182592307424
0.1,0.10683145156691488,T1,True,1,1,1,0.21541069557834172,0.21423333191579758,0.23431246865951635
0.1,0.11156274507904004,T1,True,1,1,1,0.19958563546240574,0.19815172349157562,0.2168590219938783
0.1,0.1086607626005375,T1,True,1,1,1,0.2051673805336795,0.2045744475739869,0.2202369885121332
0.1,0.10867588499203175,T1,True,1,1,1,0.21512508639736544,0.21428770567160363,0.23236186027789532
0.1,0.09740133916554068,T1,True,1,1,1,0.22645094390429088,0.2255235502212452,0.24085024512573613
0.1,0.10153607028936136,T1,True,1,1,1,0.19419846146022027,0.19298762379315684,0.21423776169844208
0.1,0.11160644974891276,T1,True,1,1,1,0.20856098706456722,0.20689505285089124,0.23014853199005122
0.1,0.10867305708574702,T1,True,1,1,1,0.2310431005539104,0.22978206483364172,0.24408189883513887
0.1,0.11101476240332063,T1,True,1,1,1,0.24170733825827856,0.23940298652107941,0.26108860248723537
0.1,0.095349712728737,T1,True,1,1,1,0.20955023090066735,0.20813737085880213,0.22945590715715483
0.1,0.1282387670756974,T1,True,1,1,1,0.20607503183724502,0.20519312209705515,0.2256771778165696
0.1,0.09580376017470386,T1,True,1,1,1,0.24153698367249027,0.24039927643010497,0.2572232152396409
0.1,0.09395305468629225,T1,True,1,1,1,0.2306747997475218,0.2292241570679397,0.2517330699765689
0.1,0.10737316015276381,T1,True,1,1,1,0.20454516971682296,0.20293218613446845,0.2239231543157931
0.1,0.0988677603663685,T1,True,1,1,1,0.2425228602593253,0.24143335273089758,0.2549387095357541
0.1,0.10083016764582678,T1,True,1,1,1,0.2372248731766376,0.23602051089269246,0.2536349817075905
0.1,0.08599899776285097,T1,True,1,1,1,0.28451630834752256,0.2830134253329742,0.30400048846083266
0.1,0.10714995379463545,T1,True,1,1,1,0.21348403452723946,0.21166134804260583,0.23304796369479172
0.1,0.10316752271593951,T1,True,1,1,1,0.1973040552448612,0.19582295272744765,0.2224262460980743
0.1,0.11087738385834026,T1,True,1,1,1,0.2744133291771502,0.2730549972169125,0.28817144212338064
0.1,0.11664387275623793,T1,True,1,1,1,0.19494178133795056,0.19363863672393153,0.2105490685921556
0.1,0.09961813273913615,T1,True,1,1,1,0.2294794199225966,0.2288335069547544,0.24410965915361046
0.1,0.09790503862549815,T1,True,1,1,1,0.2254113003950519,0.22429741081724558,0.23982826836767987
0.1,0.1110928663064689,T1,True,1,1,1,0.29698629850587577,0.2956421239715263,0.31123465339954365
0.1,0.10433253733873557,T1,True,1,1,1,0.22310354290734352,0.22202868066024992,0.23756371785101973
0.1,0.1001807990013788,T1,True,1,1,1,0.24870437237867773,0.2474619957582313,0.26596925962165946
0.1,0.10869864029921338,T1,True,0,0,0,0.22331541025392035,0.22171550298555734,0.24154469871290715
0.1,0.11835348942508973,T1,True,1,1,1,0.20034570255872028,0.19933356074256475,0.21759475886701923
0.1,0.09965574669561933,T1,True,1,1,1,0.21147320934562305,0.21026511964481934,0.22904875773714953
0.1,0.09604243400988804,T1,True,1,1,1,0.21790367295301213,0.21686424467674506,0.2334063491667371
