outcome,pais,country,y0,y1,n0,n_upm,M0,M1,M2,M3,deff_ratio,signal
sat,21,RepÃºblica Dominicana,2006,2008,1516,54,0,0,0,0,1.0557751309569112,-0.01153386258943449
sat,21,RepÃºblica Dominicana,2008,2010,1507,57,1,1,1,1,0.9952755556827163,0.060605386706202136
sat,21,RepÃºblica Dominicana,2010,2012,1498,60,0,0,0,0,0.9464119023418631,0.007019726145468072
sat,21,RepÃºblica Dominicana,2012,2014,1512,55,0,0,0,0,1.0074538288703618,0.025963232169698834
sat,21,RepÃºblica Dominicana,2014,2016,1520,63,1,1,1,1,0.9912126827850948,0.08432989671556997
sat,21,RepÃºblica Dominicana,2016,2019,1518,63,0,0,0,0,0.9925537154625855,-0.02211054066608001
sat,21,RepÃºblica Dominicana,2019,2023,1516,63,0,0,0,0,1.0061563323589215,-0.04214872868764122
sat,22,HaitÃ­,2006,2008,1625,74,0,0,0,0,1.6691921449629366,-0.00476377919143145
sat,22,HaitÃ­,2008,2010,1536,70,0,0,0,0,1.2682253018414722,-0.009133465705006227
sat,22,HaitÃ­,2010,2012,1752,149,0,0,0,0,0.9074980026327808,-0.07637463027014589
sat,22,HaitÃ­,2012,2014,1836,114,1,0,0,0,1.2522829810732032,0.06268132697675201
sat,22,HaitÃ­,2014,2017,1512,61,1,1,1,1,1.3902440624633468,0.21685097998608568
sat,23,Jamaica,2006,2008,1595,85,1,1,1,1,1.5505481979585922,0.05024267256782738
sat,23,Jamaica,2008,2010,1499,63,1,1,1,1,1.6708633964459332,0.04555010511562716
sat,23,Jamaica,2010,2012,1504,80,0,0,0,0,1.5046191229940928,-0.11066923615977575
sat,23,Jamaica,2012,2014,1500,53,1,1,1,1,1.3279670350204877,0.10892603129445233
sat,23,Jamaica,2014,2017,1503,52,1,1,1,1,1.1414549370547278,0.06146533666458208
sat,23,Jamaica,2017,2019,1515,52,0,0,0,0,1.085704109117791,0.005124475813994327
sat,23,Jamaica,2019,2023,1513,52,1,1,1,1,1.0153705728192521,0.03609384283665789
sat,24,24,2006,2009,1555,157,0,0,0,0,1.5753936253095076,-0.019414719118334936
sat,24,24,2009,2010,2514,89,1,1,1,1,1.7087460909756886,0.0667896762954504
sat,24,24,2010,2012,1540,54,0,0,0,0,1.5579128188859146,-0.04278207063978451
sat,24,24,2012,2014,1529,51,1,1,1,1,1.4961851928101257,0.08969058156689187
sat,25,Trinidad y Tobago,2014,2023,4203,349,1,1,1,1,1.289431243044626,0.24368465002446482
sat,26,Belice,2008,2010,1552,55,0,0,0,0,1.185157261734624,0.033763977694081904
sat,26,Belice,2010,2012,1504,55,0,0,0,0,1.1278587617539846,-0.09218828470985707
sat,26,Belice,2012,2014,1512,63,1,1,1,1,1.131749649709223,0.10480407449529572
sat,26,Belice,2014,2023,1533,63,1,1,1,1,1.0871788004267304,0.05951551980576908
sat,27,Surinam,2014,2023,4000,163,1,1,1,1,1.2065172854939996,0.4393869427063663
sat,28,Bahamas,2014,2023,3429,285,1,1,1,1,1.2084690099529811,0.18564393062299722
sat,40,Estados Unidos,2006,2008,609,609,1,1,1,1,1.0129458909012372,0.06834820879585497
sat,40,Estados Unidos,2008,2010,1500,1500,1,1,1,1,0.9985810271633949,0.07834105703665684
sat,41,CanadÃ¡,2006,2008,601,601,1,1,1,1,0.9897661430128578,0.037405280165292196
sat,41,CanadÃ¡,2008,2010,2032,1997,1,1,1,1,0.9865968768844527,0.07425627763984785
ing4,1,MÃ©xico,2004,2006,1556,102,1,0,0,0,1.2732328761572522,0.013019043491042387
ing4,1,MÃ©xico,2006,2008,1560,102,1,0,0,0,1.364307400531978,0.014707014918804733
ing4,1,MÃ©xico,2008,2010,1560,101,0,0,0,0,1.263545560291999,-0.013392174634721643
ing4,1,MÃ©xico,2010,2012,1562,130,0,0,0,0,1.241659824753339,-0.011531188089774122
ing4,1,MÃ©xico,2012,2014,1560,130,1,0,0,0,1.3306302275430788,0.012075481636576723
ing4,1,MÃ©xico,2014,2016,1535,130,1,1,1,1,1.178548722397526,0.07876258611552729
ing4,1,MÃ©xico,2016,2019,1563,130,0,0,0,0,1.0761924948562922,-0.08889697695051296
ing4,1,MÃ©xico,2019,2023,1580,129,1,0,0,0,1.0743953742218468,0.01689866859849283
ing4,2,Guatemala,2004,2006,1708,126,0,0,0,0,1.2185928081314288,-0.10498730460291861
ing4,2,Guatemala,2006,2008,1498,109,1,1,1,1,1.2259200299502044,0.09176448012037287
ing4,2,Guatemala,2008,2010,1538,100,0,0,0,0,1.230516971689672,-0.058687014148773635
ing4,2,Guatemala,2010,2012,1494,108,0,0,0,0,1.4245502981769746,0.0029429024756025984
ing4,2,Guatemala,2012,2014,1509,72,0,0,0,0,1.4345062158581698,-0.03332791394003442
ing4,2,Guatemala,2014,2017,1506,62,1,1,1,1,1.1035946755947057,0.06413206628798014
ing4,2,Guatemala,2017,2019,1546,63,0,0,0,0,1.1216628764422256,-0.014040870060389949
ing4,2,Guatemala,2019,2023,1596,62,0,0,0,0,1.1539407946871474,0.009600803841701123
ing4,3,El Salvador,2004,2006,1589,65,1,0,0,0,1.01673721614433,0.03029826590851079
ing4,3,El Salvador,2006,2008,1729,66,0,0,0,0,0.9904972925408498,-0.058441617837753486
ing4,3,El Salvador,2008,2010,1549,66,0,0,0,0,0.9134361237603174,-0.007771221203651972
ing4,3,El Salvador,2010,2012,1550,66,1,0,0,0,0.9520978391466838,0.021922844429878866
ing4,3,El Salvador,2012,2014,1497,52,0,0,0,0,0.9549201464921299,-0.02482774912655768
ing4,3,El Salvador,2014,2016,1512,63,1,1,1,1,0.9278969457821086,0.03979474998044222
ing4,3,El Salvador,2016,2018,1551,63,0,0,0,0,0.908056971097874,-0.02447011925881233
ing4,3,El Salvador,2018,2023,1511,63,0,0,0,0,0.9023546687518079,-0.04445564691625472
ing4,4,Honduras,2004,2006,1500,111,0,0,0,0,1.0856696195722007,-0.02932172695460077
ing4,4,Honduras,2006,2008,1585,118,1,0,0,0,1.432380134233535,0.04112172150888185
ing4,4,Honduras,2008,2010,1522,93,0,0,0,0,1.5391299413195862,-0.04779225270034749
ing4,4,Honduras,2010,2012,1596,93,1,1,1,1,1.125114646825843,0.16875976663714
ing4,4,Honduras,2012,2014,1728,68,0,0,0,0,1.1372674579899318,-0.13923676720709885
ing4,4,Honduras,2014,2016,1561,65,1,1,1,1,1.0589914304571502,0.061148204030128085
ing4,4,Honduras,2016,2018,1560,65,0,0,0,0,0.9452729695415635,0.029394564356263742
