iso,country,item,K_item,p_persistent,p_le_alpha10,certifies_alpha10,n_waves,first_wave,last_wave
458,458,rej_army,76,1.0,False,False,3,5,7
498,498,rej_army,76,1.0,False,False,3,3,5
50,50,rej_army,76,1.0,False,False,3,3,7
504,504,rej_army,76,1.0,False,False,3,4,7
51,51,rej_army,76,1.0,False,False,3,3,7
528,528,rej_army,76,1.0,False,False,3,5,7
554,554,rej_army,76,1.0,False,False,4,3,7
566,566,rej_army,76,1.0,False,False,4,3,7
586,586,rej_army,76,1.0,False,False,4,3,7
604,604,rej_army,76,1.0,False,False,5,3,7
630,630,rej_army,76,1.0,False,False,3,3,7
642,642,rej_army,76,1.0,False,False,4,3,7
643,643,rej_army,76,1.0,False,False,4,3,7
688,688,rej_army,76,1.0,False,False,4,3,7
702,702,rej_army,76,1.0,False,False,3,4,7
704,704,rej_army,76,1.0,False,False,2,5,7
705,705,rej_army,76,1.0,False,False,3,3,6
716,716,rej_army,76,1.0,False,False,3,4,7
724,724,rej_army,76,1.0,False,False,4,3,6
76,76,rej_army,76,1.0,False,False,4,3,7
764,764,rej_army,76,1.0,False,False,3,5,7
804,804,rej_army,76,1.0,False,False,4,3,7
840,840,rej_army,76,1.0,False,False,5,3,7
858,858,rej_army,76,1.0,False,False,4,3,7
12,Algeria,rej_army,76,1.0,False,False,2,4,6
31,Azerbaijan,rej_army,76,1.0,False,False,2,3,6
100,Bulgaria,rej_army,76,1.0,False,False,2,3,5
124,Canada,rej_army,76,1.0,False,False,3,4,7
203,Czechia,rej_army,76,1.0,False,False,2,3,7
233,Estonia,rej_army,76,1.0,False,False,2,3,6
231,Ethiopia,rej_army,76,1.0,False,False,2,5,7
268,Georgia,rej_army,76,1.0,False,False,3,3,6
288,Ghana,rej_army,76,1.0,False,False,2,5,6
320,Guatemala,rej_army,76,1.0,False,False,2,5,7
344,Hong Kong SAR,rej_army,76,1.0,False,False,3,5,7
348,Hungary,rej_army,76,1.0,False,False,2,3,5
368,Iraq,rej_army,76,1.0,False,False,4,4,7
398,Kazakhstan,rej_army,76,1.0,False,False,2,6,7
422,Lebanon,rej_army,76,1.0,False,False,2,6,7
434,Libya,rej_army,76,1.0,False,False,2,6,7
484,Mexico,rej_army,76,1.0,False,False,5,3,7
807,North Macedonia,rej_army,76,1.0,False,False,2,3,4
578,Norway,rej_army,76,1.0,False,False,2,3,5
608,Philippines,rej_army,76,1.0,False,False,4,3,7
616,Poland,rej_army,76,1.0,False,False,2,5,6
703,Slovakia,rej_army,76,1.0,False,False,2,3,7
710,South Africa,rej_army,76,1.0,False,False,4,3,6
752,Sweden,rej_army,76,1.0,False,False,3,3,6
788,Tunisia,rej_army,76,1.0,False,False,2,6,7
792,Turkey,rej_army,76,1.0,False,False,4,3,6
826,United Kingdom,rej_army,76,1.0,False,False,3,3,7
860,Uzbekistan,rej_army,76,1.0,False,False,2,6,7
8,Albania,rej_leader,77,0.0004997501249375312,True,True,2,3,4
12,Algeria,rej_leader,77,0.0004997501249375312,True,True,2,4,6
422,Lebanon,rej_leader,77,0.0004997501249375312,True,True,2,6,7
616,Poland,rej_leader,77,0.0004997501249375312,True,True,2,5,6
756,Switzerland,rej_leader,77,0.0004997501249375312,True,True,2,3,5
780,Trinidad and Tobago,rej_leader,77,0.0004997501249375312,True,True,2,5,6
788,Tunisia,rej_leader,77,0.0004997501249375312,True,True,2,6,7
233,Estonia,rej_leader,77,0.009495252373813094,True,True,2,3,6
246,Finland,rej_leader,77,0.01199400299850075,True,True,2,3,5
70,Bosnia and Herzegovina,rej_leader,77,0.014992503748125937,True,True,2,3,4
112,Belarus,rej_leader,77,0.1664167916041979,False,False,2,3,6
288,Ghana,rej_leader,77,0.42328835582208896,False,False,2,5,6
152,152,rej_leader,77,1.0,False,False,5,3,7
156,156,rej_leader,77,1.0,False,False,4,4,7
158,158,rej_leader,77,1.0,False,False,4,3,7
170,170,rej_leader,77,1.0,False,False,4,3,7
