cell,seed,target_n,survey_sd,transport_sd,oracle_cov_true,oracle_cov_tilde,oracle_width,plugin_cov_true,plugin_cov_tilde,plugin_width,da_wc_cov_true,da_wc_cov_tilde,da_wc_width,da_stud_cov_true,da_stud_width,da_stud_cov_tilde,da_stud_width_val
E_small_shift_noisy,40322,600,0.03408388364079056,0.013000215107841138,1.0,0.0,0.06386118026309853,1.0,1.0,0.19262330456298657,1.0,1.0,0.37152423033085474,1.0,0.1284954246212911,0.0,0.1743999581498777
E_small_shift_noisy,40323,600,0.03532576832491836,0.015226066698872697,1.0,0.0,0.08491686249110866,1.0,0.0,0.25558935101417973,1.0,1.0,0.42282088681188756,1.0,0.14879822663000436,0.0,0.21160349667718967
E_small_shift_noisy,40324,600,0.033986689653805156,0.0130766733725868,1.0,0.0,0.06270001351924992,1.0,1.0,0.20395974894105962,1.0,1.0,0.349944514273795,1.0,0.11556706564054815,1.0,0.26929218080047135
E_small_shift_noisy,40325,600,0.032114352485010995,0.013319148699476067,1.0,0.0,0.06326113209289538,1.0,1.0,0.18461739163046692,1.0,1.0,0.3441365350754674,1.0,0.06101266443542602,1.0,0.21009226415433693
E_small_shift_noisy,40326,600,0.03313521111572654,0.016939145253684923,1.0,0.0,0.07202608638738286,1.0,0.0,0.2338366706324965,1.0,1.0,0.4160547002818632,1.0,0.10919293447088003,1.0,0.2876214967213382
E_small_shift_noisy,40327,600,0.03248874876207236,0.012838028973026027,1.0,0.0,0.06386490661552521,1.0,1.0,0.18017515078082752,1.0,1.0,0.3843033208386878,1.0,0.08633173181382488,1.0,0.2090487876045481
E_small_shift_noisy,40328,600,0.035526604392954006,0.014518324740266797,1.0,0.0,0.0625999345191864,1.0,1.0,0.19036122018955676,1.0,1.0,0.374654195638297,1.0,0.08922340594947012,1.0,0.17024983132847143
E_small_shift_noisy,40329,600,0.03406161781806311,0.013544448074401336,1.0,0.0,0.06933482700568465,1.0,1.0,0.23100308148105367,1.0,1.0,0.36816392142303134,1.0,0.12650989909526816,1.0,0.18694963019616234
E_small_shift_noisy,40330,600,0.03380172676265608,0.014988235214816575,1.0,0.0,0.06524163575760812,1.0,1.0,0.19138730216750688,1.0,1.0,0.39911951026775516,1.0,0.12881854725752037,1.0,0.1949368679291416
E_small_shift_noisy,40331,600,0.03601431117272058,0.01338816640554007,1.0,0.0,0.06502953037707017,1.0,1.0,0.19228865506863488,1.0,1.0,0.3647228135371313,1.0,0.034390471733742226,1.0,0.3069231404074569
E_small_shift_noisy,40332,600,0.03516946064240261,0.013439844993118252,0.0,0.0,0.05286833797392095,1.0,1.0,0.24294260783286442,1.0,1.0,0.3926412128946074,1.0,0.13260425280002236,0.0,0.2036990259121036
E_small_shift_noisy,40333,600,0.03305296894217516,0.011695205488876977,1.0,0.0,0.05707751336157454,1.0,1.0,0.1664754358997685,1.0,1.0,0.3775320660973974,0.0,0.07434832406920763,1.0,0.1893610648611484
E_small_shift_noisy,40334,600,0.028746887578575412,0.013548864585656873,1.0,0.0,0.0555255132721886,1.0,0.0,0.16356962614860762,1.0,1.0,0.29358148118092975,1.0,0.13768180202820082,1.0,0.22249678709755533
E_small_shift_noisy,40335,600,0.03224793717111774,0.013783241400609372,1.0,0.0,0.05435559332581177,1.0,1.0,0.24518734177690038,1.0,1.0,0.39419078330967805,1.0,0.1590451302377615,0.0,0.19958205542829593
E_small_shift_noisy,40336,600,0.03427663908819645,0.012973677685963272,1.0,0.0,0.05848083250805429,1.0,1.0,0.18691524525482928,1.0,1.0,0.3598741568666218,1.0,0.08164350672543945,1.0,0.22328532493193792
E_small_shift_noisy,40337,600,0.0319040219682066,0.013481833037217015,1.0,0.0,0.058569766431327844,1.0,1.0,0.19827973302968793,1.0,1.0,0.3719271656268968,1.0,0.14003819803868084,1.0,0.25056789408752606
E_small_shift_noisy,40338,600,0.0359016835939629,0.014789149602926783,1.0,0.0,0.06945672169972819,1.0,1.0,0.2167417555713583,1.0,1.0,0.36831139689656467,1.0,0.10301877543958862,1.0,0.19302966673547822
E_small_shift_noisy,40339,600,0.03101556978931105,0.01640436624786458,1.0,0.0,0.06977633146793287,1.0,1.0,0.20427628671963577,1.0,1.0,0.4044164339218563,1.0,0.10552518060380553,0.0,0.17154018574063712
E_small_shift_noisy,40340,600,0.035716339096419344,0.012789875667473336,0.0,0.0,0.05256193651429645,1.0,1.0,0.22886339728037025,1.0,1.0,0.36771084131988907,1.0,0.1033477264976453,0.0,0.1942311861290415
E_small_shift_noisy,40341,600,0.032458916238495346,0.012721664578022204,1.0,0.0,0.0678154259802676,1.0,0.0,0.1756284619330493,1.0,1.0,0.3342708262997813,1.0,0.09022453456914158,1.0,0.2632507962339815
E_small_shift_noisy,40342,600,0.031624327898986636,0.014518979803554216,1.0,0.0,0.07412047403089889,1.0,1.0,0.23370767997186218,1.0,1.0,0.3860707348528485,1.0,0.1433971026800917,0.0,0.25470830808025297
E_small_shift_noisy,40343,600,0.03372170981768484,0.014649771665830685,1.0,0.0,0.0580707092367726,1.0,1.0,0.23217859603862018,1.0,1.0,0.43740504829407334,1.0,0.1392157383746106,1.0,0.19081176083127743
E_small_shift_noisy,40344,600,0.03251369996845274,0.013348843576622162,0.0,0.0,0.05176739215327832,1.0,1.0,0.2089211069812123,1.0,1.0,0.4084547470117169,1.0,0.13380075737684055,1.0,0.3430030831182887
E_small_shift_noisy,40345,600,0.03444147833073824,0.013409068291478504,1.0,0.0,0.05467949932820877,1.0,1.0,0.1934501992468277,1.0,1.0,0.3871786327895241,1.0,0.11817546680536335,1.0,0.2133711623060417
E_small_shift_noisy,40346,600,0.03305453609227086,0.014595162080313478,1.0,0.0,0.05302899585548028,1.0,1.0,0.19549468912578707,1.0,1.0,0.3652935774312624,0.0,0.10016404053959474,1.0,0.2765112699374382
E_small_shift_noisy,40347,600,0.035672755699966134,0.012705663752374372,0.0,0.0,0.0571737614685502,1.0,1.0,0.23109969427326443,1.0,1.0,0.4097634744737591,0.0,0.10894984111790869,1.0,0.200618075343271
E_small_shift_noisy,40348,600,0.03422461974520981,0.013621773107329524,1.0,0.0,0.0716244669317498,1.0,1.0,0.21069761856642852,1.0,1.0,0.3675527195237036,1.0,0.12850042457429403,1.0,0.1819444176129617
E_small_shift_noisy,40349,600,0.03445710224387289,0.015396985353695445,1.0,0.0,0.06423239673514629,1.0,1.0,0.22735984579179364,1.0,1.0,0.4833118945163415,1.0,0.12656590930323697,1.0,0.22006279830724895
E_small_shift_noisy,40350,600,0.03401362435009811,0.013196690995126043,1.0,0.0,0.051076593652316815,1.0,0.0,0.18337528393771346,1.0,1.0,0.3465876012174819,1.0,0.1035655449818224,1.0,0.2391308047209022
E_small_shift_noisy,40351,600,0.033692106847510214,0.012986189025934416,1.0,0.0,0.05591408331407727,1.0,1.0,0.1990400808875385,1.0,1.0,0.3867110851935659,1.0,0.09537943097551853,1.0,0.2622755971505895
