cntry,essround,n,trstprl,stfdem,anweight,pspwght,dweight,psu,stratum,prob,n_psu,n_strata,sample
IE,9,2216,0.9598375451263538,0.9638989169675091,1.0,1.0,1.0,1.0,1.0,1.0,612,306,core
IE,10,1770,0.9474576271186441,0.9677966101694915,1.0,1.0,1.0,1.0,1.0,1.0,553,17,core
IE,11,2017,0.9593455627169063,0.9558750619732276,1.0,1.0,1.0,1.0,1.0,1.0,594,17,core
IL,1,2499,0.9719887955182073,0.9671868747499,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IL,4,2490,0.9562248995983936,0.9449799196787149,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IL,5,2294,0.9629468177855275,0.9476896251089799,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IL,6,2508,0.9657097288676236,0.9728867623604466,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IL,7,2562,0.9789227166276346,0.9664324746291959,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IL,8,2557,0.9816190848650762,0.9648025029331248,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IL,10,1308,0.9870030581039755,0.9755351681957186,1.0,1.0,1.0,1.0,1.0,1.0,229,13,core
IL,11,906,0.9624724061810155,0.9470198675496688,1.0,1.0,1.0,1.0,1.0,1.0,906,10,core
IS,2,579,0.9723661485319517,0.9430051813471503,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IS,6,752,0.976063829787234,0.9654255319148937,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IS,8,880,0.9954545454545455,0.975,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IS,9,861,0.9883855981416957,0.9721254355400697,1.0,1.0,1.0,1.0,1.0,1.0,695,347,core
IS,10,903,0.9889258028792912,0.973421926910299,1.0,1.0,1.0,1.0,1.0,1.0,744,372,core
IS,11,842,0.9904988123515439,0.9774346793349169,1.0,1.0,1.0,1.0,1.0,1.0,750,48,core
IT,1,1207,0.9569179784589892,0.9353769676884839,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IT,6,960,0.990625,0.9770833333333333,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IT,8,2626,0.9767707539984768,0.9531607006854531,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IT,9,2745,0.9675774134790528,0.9537340619307833,1.0,1.0,1.0,1.0,1.0,1.0,529,28,core
IT,10,2640,0.9890151515151515,0.9799242424242425,1.0,1.0,1.0,1.0,1.0,1.0,439,31,core
IT,11,2865,0.9804537521815009,0.963001745200698,1.0,1.0,1.0,1.0,1.0,1.0,398,30,core
LT,5,1677,0.9701848539057841,0.9194991055456172,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
LT,6,2109,0.9706021811284969,0.9487908961593172,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
LT,7,2250,0.9844444444444445,0.9551111111111111,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
LT,8,2122,0.9816211121583411,0.9646559849198869,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
LT,9,1835,0.9858310626702997,0.943324250681199,1.0,1.0,1.0,1.0,1.0,1.0,1068,17,core
LT,10,1659,0.9897528631705846,0.9391199517781796,1.0,1.0,1.0,1.0,1.0,1.0,1176,17,core
LT,11,1365,0.991941391941392,0.9487179487179487,1.0,1.0,1.0,1.0,1.0,1.0,924,17,core
LU,1,1552,0.8376288659793815,0.8962628865979382,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
LU,2,1635,0.890519877675841,0.9192660550458716,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
LV,4,1980,0.9873737373737373,0.9525252525252526,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
LV,9,918,0.9662309368191722,0.8812636165577342,1.0,1.0,1.0,1.0,1.0,1.0,404,16,core
LV,10,1023,0.9941348973607038,0.9814271749755621,1.0,1.0,1.0,1.0,1.0,1.0,1023,14,core
LV,11,1252,0.9760383386581469,0.9225239616613419,1.0,1.0,1.0,1.0,1.0,1.0,277,16,core
ME,9,1200,0.97,0.9691666666666666,1.0,1.0,1.0,1.0,1.0,1.0,275,8,core
ME,10,1278,0.9710485133020345,0.9859154929577465,1.0,1.0,1.0,1.0,1.0,1.0,372,8,core
